Country,Item,Year,Value
Bolivia,Vegetables,1978,57.55
Bolivia,Vegetables,1983,31.85
Bolivia,Vegetables,1988,53.52
Bolivia,Vegetables,1993,49.69
Bolivia,Vegetables,1998,53.01
Bolivia,Vegetables,2003,47.36
Bolivia,Vegetables,2008,35
Bolivia,Vegetables,2013,31.48
Botswana,Vegetables,1963,16.21
Botswana,Vegetables,1968,16.14
Botswana,Vegetables,1973,16.33
Botswana,Vegetables,1978,23.11
Botswana,Vegetables,1983,18.79
Botswana,Vegetables,1988,19.39
Botswana,Vegetables,1993,31.98
Botswana,Vegetables,1998,25.83
Botswana,Vegetables,2003,33.52
Botswana,Vegetables,2008,33.86
Botswana,Vegetables,2013,38.79
Brazil,Vegetables,1963,24.26
Brazil,Vegetables,1968,25.44
Brazil,Vegetables,1973,25.18
Brazil,Vegetables,1978,29.32
Brazil,Vegetables,1983,30.01
Brazil,Vegetables,1988,34.55
Brazil,Vegetables,1993,34.06
Brazil,Vegetables,1998,37.4
Brazil,Vegetables,2003,47.02
Brazil,Vegetables,2008,47.3
Brazil,Vegetables,2013,51.53
Brunei,Vegetables,1963,33.46
Brunei,Vegetables,1968,50.96
Brunei,Vegetables,1973,50.98
Brunei,Vegetables,1978,56.99
Brunei,Vegetables,1983,67.32
Brunei,Vegetables,1988,56.83
Brunei,Vegetables,1993,71.59
Brunei,Vegetables,1998,92.38
Brunei,Vegetables,2003,91.39
Brunei,Vegetables,2008,60.88
Brunei,Vegetables,2013,90.25
Bulgaria,Vegetables,1963,118.36
Bulgaria,Vegetables,1968,102.88
Bulgaria,Vegetables,1973,101.82
Bulgaria,Vegetables,1978,121.89
Bulgaria,Vegetables,1983,127.68
Bulgaria,Vegetables,1988,141.66
Bulgaria,Vegetables,1993,111.74
Bulgaria,Vegetables,1998,164.32
Bulgaria,Vegetables,2003,133.82
Bulgaria,Vegetables,2008,77.82
Bulgaria,Vegetables,2013,67.37
Cambodia,Vegetables,1963,58.19
Cambodia,Vegetables,1968,59.61
Cambodia,Vegetables,1973,55.41
Cambodia,Vegetables,1978,49.08
Cambodia,Vegetables,1983,52.44
Cambodia,Vegetables,1988,49.7
Cambodia,Vegetables,1993,43.18
Cambodia,Vegetables,1998,35.84
Cambodia,Vegetables,2003,32.98
Cambodia,Vegetables,2008,29.83
Cambodia,Vegetables,2013,37.36
Cameroon,Vegetables,1963,35.62
Cameroon,Vegetables,1968,42.73
Cameroon,Vegetables,1973,47.2
Cameroon,Vegetables,1978,41.13
Cameroon,Vegetables,1983,42.19
Cameroon,Vegetables,1988,40.1
Cameroon,Vegetables,1993,47.89
Cameroon,Vegetables,1998,56.92
Cameroon,Vegetables,2003,75.53
Cameroon,Vegetables,2008,96.61
Cameroon,Vegetables,2013,107.04
Canada,Vegetables,1963,77.09
Canada,Vegetables,1968,84.35
Canada,Vegetables,1973,87.37
Canada,Vegetables,1978,102.28
Canada,Vegetables,1983,105.67
Canada,Vegetables,1988,108.7
Canada,Vegetables,1993,119.49
Canada,Vegetables,1998,122.41
Canada,Vegetables,2003,122.36
Canada,Vegetables,2008,114.05
Canada,Vegetables,2013,108.47
Chad,Vegetables,1963,11.41
Chad,Vegetables,1968,11.67
Chad,Vegetables,1973,8.16
Chad,Vegetables,1978,11.42
Chad,Vegetables,1983,13.72
Chad,Vegetables,1988,11.98
Chad,Vegetables,1993,10.37
Chad,Vegetables,1998,11.19
Chad,Vegetables,2003,10.98
Chad,Vegetables,2008,8.44
Chad,Vegetables,2013,7.73
Chile,Vegetables,1963,113.03
Chile,Vegetables,1968,100.32
Chile,Vegetables,1973,91.13
Chile,Vegetables,1978,117.17
Chile,Vegetables,1983,119.9
Chile,Vegetables,1988,97.18
Chile,Vegetables,1993,108.67
Chile,Vegetables,1998,93.62
Chile,Vegetables,2003,108.27
Chile,Vegetables,2008,79.79
Chile,Vegetables,2013,71.72
China,Vegetables,1963,63.89
China,Vegetables,1968,56.75
China,Vegetables,1973,47.26
China,Vegetables,1978,51.61
China,Vegetables,1983,66.03
China,Vegetables,1988,98.23
China,Vegetables,1993,128.58
China,Vegetables,1998,181.73
China,Vegetables,2003,272.37
China,Vegetables,2008,316.92
China,Vegetables,2013,353.14
Colombia,Vegetables,1963,25
Colombia,Vegetables,1968,33.65
Colombia,Vegetables,1973,36.22
Colombia,Vegetables,1978,45.88
Colombia,Vegetables,1983,37.98
Colombia,Vegetables,1988,40.78
Colombia,Vegetables,1993,23.74
Colombia,Vegetables,1998,36.26
Colombia,Vegetables,2003,38.17
Colombia,Vegetables,2008,37.75
Colombia,Vegetables,2013,42.26
