,Country,Item,Value,medianValues,Mean.BMI,Total.population
1899,Turkmenistan,Tea (including mate),0.5,58.2278481013,26.361612365,5234640
1900,Turkmenistan,Eggs,7.88,54.7169811321,26.361612365,5234640
1901,Turkmenistan,Starchy Roots,30.53,25.1572327044,26.361612365,5234640
1902,Turkmenistan,Sugar & Sweeteners,8.97,11.320754717,26.361612365,5234640
1903,Uganda,Cereals - Excluding Beer,70.87,3.1446540881,22.2184598791,36759274
1904,Uganda,Milk - Excluding Butter,37.27,27.0440251572,22.2184598791,36759274
1905,Uganda,Animal fats,0.44,13.8364779874,22.2184598791,36759274
1906,Uganda,Coffee and products,0.09,13.2075471698,22.2184598791,36759274
1907,Uganda,Sugar & Sweeteners,11.82,19.4968553459,22.2184598791,36759274
1908,Uganda,Alcoholic Beverages,73.52,74.0506329114,22.2184598791,36759274
1909,Uganda,Meat,12.13,10.0628930818,22.2184598791,36759274
1910,Uganda,Fruits - Excluding Wine,117.77,8.1761006289,22.2184598791,36759274
1911,Uganda,Tea (including mate),0.01,6.3291139241,22.2184598791,36759274
1912,Uganda,Vegetables,27.14,12.5786163522,22.2184598791,36759274
1913,Uganda,"Fish, Seafood",12.5,49.0566037736,22.2184598791,36759274
1914,Uganda,Pulses,23.53,98.1012658228,22.2184598791,36759274
1915,Uganda,Starchy Roots,126.43,84.2767295597,22.2184598791,36759274
1916,Uganda,Eggs,0.97,10.6918238994,22.2184598791,36759274
1917,Ukraine,Cereals - Excluding Beer,138.4,57.2327044025,26.598744399,44696741
1918,Ukraine,Starchy Roots,135.94,86.7924528302,26.598744399,44696741
1919,Ukraine,Milk - Excluding Butter,145.03,65.4088050314,26.598744399,44696741
1920,Ukraine,Meat,54.75,58.4905660377,26.598744399,44696741
1921,Ukraine,Fruits - Excluding Wine,61.51,94.3396226415,26.598744399,44696741
1922,Ukraine,Animal fats,5.1,73.5849056604,26.598744399,44696741
1923,Ukraine,Eggs,18.01,97.4842767296,26.598744399,44696741
1924,Ukraine,"Fish, Seafood",17.03,60.3773584906,26.598744399,44696741
1925,Ukraine,Alcoholic Beverages,69.85,70.253164557,26.598744399,44696741
1926,Ukraine,Vegetables,163.78,84.9056603774,26.598744399,44696741
1927,Ukraine,Sugar & Sweeteners,46.11,83.0188679245,26.598744399,44696741
1928,Ukraine,Tea (including mate),0.57,63.9240506329,26.598744399,44696741
1929,Ukraine,Coffee and products,1.69,55.3459119497,26.598744399,44696741
1930,Ukraine,Pulses,1.57,19.6202531646,26.598744399,44696741
1931,United Arab Emirates,Pulses,25.48,98.7341772152,28.6898861379,8207940
1932,United Arab Emirates,Eggs,8.23,57.8616352201,28.6898861379,8207940
1933,United Arab Emirates,Vegetables,69.58,47.7987421384,28.6898861379,8207940
1934,United Arab Emirates,Meat,58.7,62.2641509434,28.6898861379,8207940
1935,United Arab Emirates,Starchy Roots,15.83,6.9182389937,28.6898861379,8207940
1936,United Arab Emirates,Coffee and products,3,69.1823899371,28.6898861379,8207940
1937,United Arab Emirates,Sugar & Sweeteners,36.95,62.893081761,28.6898861379,8207940
1938,United Arab Emirates,Fruits - Excluding Wine,116.72,42.7672955975,28.6898861379,8207940
1939,United Arab Emirates,Cereals - Excluding Beer,158.68,76.7295597484,28.6898861379,8207940
1940,United Arab Emirates,Tea (including mate),0.91,77.2151898734,28.6898861379,8207940
1941,United Arab Emirates,"Fish, Seafood",22.78,70.4402515723,28.6898861379,8207940
1942,United Arab Emirates,Animal fats,2.58,53.4591194969,28.6898861379,8207940
1943,United Arab Emirates,Milk - Excluding Butter,132.66,59.748427673,28.6898861379,8207940
1944,United Kingdom,Fruits - Excluding Wine,127.41,64.7798742138,27.2320070792,63177406
1945,United Kingdom,Tea (including mate),1.84,92.4050632911,27.2320070792,63177406
1946,United Kingdom,Pulses,3.45,41.7721518987,27.2320070792,63177406
1947,United Kingdom,Meat,81.48,81.7610062893,27.2320070792,63177406
1948,United Kingdom,Cereals - Excluding Beer,115.85,27.6729559748,27.2320070792,63177406
1949,United Kingdom,Alcoholic Beverages,93.14,86.7088607595,27.2320070792,63177406
1950,United Kingdom,"Fish, Seafood",20.76,64.7798742138,27.2320070792,63177406
1951,United Kingdom,Starchy Roots,104.05,79.8742138365,27.2320070792,63177406
1952,United Kingdom,Vegetables,96.99,61.6352201258,27.2320070792,63177406
1953,United Kingdom,Animal fats,6.1,79.2452830189,27.2320070792,63177406
1954,United Kingdom,Coffee and products,2.56,62.893081761,27.2320070792,63177406
1955,United Kingdom,Sugar & Sweeteners,41.28,71.0691823899,27.2320070792,63177406
1956,United Kingdom,Milk - Excluding Butter,232.2,85.534591195,27.2320070792,63177406
1957,United Kingdom,Eggs,11.08,73.5849056604,27.2320070792,63177406
1958,Uruguay,Milk - Excluding Butter,210.54,83.0188679245,27.2182435987,3403117
1959,Uruguay,Sugar & Sweeteners,40.62,69.8113207547,27.2182435987,3403117
1960,Uruguay,Eggs,13.14,86.7924528302,27.2182435987,3403117
1961,Uruguay,Alcoholic Beverages,51.27,60.7594936709,27.2182435987,3403117
1962,Uruguay,Starchy Roots,51.23,45.2830188679,27.2182435987,3403117
1963,Uruguay,Cereals - Excluding Beer,150.52,69.8113207547,27.2182435987,3403117
1964,Uruguay,Meat,82.29,83.6477987421,27.2182435987,3403117
1965,Uruguay,Vegetables,59.73,41.5094339623,27.2182435987,3403117
1966,Uruguay,"Fish, Seafood",7.49,34.5911949686,27.2182435987,3403117
1967,Uruguay,Coffee and products,1.35,49.0566037736,27.2182435987,3403117
1968,Uruguay,Fruits - Excluding Wine,71.27,33.3333333333,27.2182435987,3403117
1969,Uruguay,Pulses,3.33,39.8734177215,27.2182435987,3403117
1970,Uruguay,Tea (including mate),9.68,99.3670886076,27.2182435987,3403117
1971,Uruguay,Animal fats,3.35,62.2641509434,27.2182435987,3403117
1972,Uzbekistan,Starchy Roots,52.19,46.5408805031,26.6212381191,28398155
1973,Uzbekistan,Eggs,5.23,44.6540880503,26.6212381191,28398155
1974,Uzbekistan,Tea (including mate),0.87,75.9493670886,26.6212381191,28398155
1975,Uzbekistan,Meat,35.55,42.7672955975,26.6212381191,28398155
1976,Uzbekistan,Cereals - Excluding Beer,182.01,89.9371069182,26.6212381191,28398155
1977,Uzbekistan,Coffee and products,0,3.7735849057,26.6212381191,28398155
1978,Uzbekistan,Fruits - Excluding Wine,91.17,99.3710691824,26.6212381191,28398155
1979,Uzbekistan,Vegetables,279.31,98.7421383648,26.6212381191,28398155
1980,Uzbekistan,"Fish, Seafood",0.74,3.1446540881,26.6212381191,28398155
1981,Uzbekistan,Alcoholic Beverages,11.43,24.6835443038,26.6212381191,28398155
1982,Uzbekistan,Pulses,0.05,3.7974683544,26.6212381191,28398155
1983,Uzbekistan,Sugar & Sweeteners,10.08,13.8364779874,26.6212381191,28398155
1984,Uzbekistan,Milk - Excluding Butter,130.81,59.1194968553,26.6212381191,28398155
1985,Uzbekistan,Animal fats,2.26,49.0566037736,26.6212381191,28398155
1986,Vanuatu,Vegetables,51.88,32.7044025157,26.2023101078,257812
1987,Vanuatu,Meat,40.77,47.7987421384,26.2023101078,257812
1988,Vanuatu,Starchy Roots,219.01,93.7106918239,26.2023101078,257812
1989,Vanuatu,Tea (including mate),0.1,22.7848101266,26.2023101078,257812
1990,Vanuatu,Cereals - Excluding Beer,94.4,10.6918238994,26.2023101078,257812
1991,Vanuatu,Fruits - Excluding Wine,80.18,23.8993710692,26.2023101078,257812
1992,Vanuatu,Alcoholic Beverages,3.77,12.6582278481,26.2023101078,257812
1993,Vanuatu,Eggs,3.36,32.7044025157,26.2023101078,257812
1994,Vanuatu,Sugar & Sweeteners,18.76,28.9308176101,26.2023101078,257812
1995,Vanuatu,"Fish, Seafood",32.05,85.534591195,26.2023101078,257812
1996,Vanuatu,Milk - Excluding Butter,25.21,20.1257861635,26.2023101078,257812
1997,Vanuatu,Animal fats,2.15,46.5408805031,26.2023101078,257812
1998,Vanuatu,Coffee and products,0.89,38.3647798742,26.2023101078,257812
1999,Vanuatu,Pulses,0,1.2658227848,26.2023101078,257812
2000,Yemen,Sugar & Sweeteners,28.45,42.7672955975,23.6724866258,NA
2001,Yemen,Fruits - Excluding Wine,52.64,11.9496855346,23.6724866258,NA
2002,Yemen,Milk - Excluding Butter,43.97,29.5597484277,23.6724866258,NA
2003,Yemen,Vegetables,31.14,15.7232704403,23.6724866258,NA
2004,Yemen,Starchy Roots,11,3.1446540881,23.6724866258,NA
2005,Yemen,Alcoholic Beverages,0.43,5.0632911392,23.6724866258,NA
2006,Yemen,Pulses,6.29,60.1265822785,23.6724866258,NA
2007,Yemen,Eggs,2.23,28.9308176101,23.6724866258,NA
2008,Yemen,Tea (including mate),0.55,63.2911392405,23.6724866258,NA
2009,Yemen,Meat,20.42,23.8993710692,23.6724866258,NA
2010,Yemen,Animal fats,0.74,23.8993710692,23.6724866258,NA
2011,Yemen,Cereals - Excluding Beer,161.78,79.2452830189,23.6724866258,NA
2012,Yemen,"Fish, Seafood",2.46,10.0628930818,23.6724866258,NA
2013,Yemen,Coffee and products,0.7,35.8490566038,23.6724866258,NA
2014,Zambia,Vegetables,25.76,10.6918238994,22.4391592212,14314515
2015,Zambia,Starchy Roots,84,71.6981132075,22.4391592212,14314515
2016,Zambia,Meat,13.04,11.9496855346,22.4391592212,14314515
2017,Zambia,Cereals - Excluding Beer,135.14,51.572327044,22.4391592212,14314515
2018,Zambia,Eggs,3.32,32.0754716981,22.4391592212,14314515
2019,Zambia,Milk - Excluding Butter,9.71,8.8050314465,22.4391592212,14314515
2020,Zambia,"Fish, Seafood",6.22,29.5597484277,22.4391592212,14314515
2021,Zambia,Alcoholic Beverages,30.86,43.0379746835,22.4391592212,14314515
2022,Zambia,Fruits - Excluding Wine,10.23,6.9182389937,22.4391592212,14314515
2023,Zambia,Sugar & Sweeteners,10.27,15.7232704403,22.4391592212,14314515
2024,Zambia,Animal fats,0.32,6.9182389937,22.4391592212,14314515
2025,Zambia,Coffee and products,0.47,31.4465408805,22.4391592212,14314515
2026,Zambia,Tea (including mate),0.14,29.1139240506,22.4391592212,14314515
2027,Zambia,Pulses,1.83,22.1518987342,22.4391592212,14314515
2028,Zimbabwe,Meat,18.24,22.0125786164,23.7647296149,13327925
2029,Zimbabwe,"Fish, Seafood",2.82,11.320754717,23.7647296149,13327925
2030,Zimbabwe,Eggs,1.75,22.0125786164,23.7647296149,13327925
2031,Zimbabwe,Vegetables,16.04,2.5157232704,23.7647296149,13327925
2032,Zimbabwe,Milk - Excluding Butter,31.9,25.1572327044,23.7647296149,13327925
2033,Zimbabwe,Animal fats,1.43,37.106918239,23.7647296149,13327925
2034,Zimbabwe,Alcoholic Beverages,36.48,50,23.7647296149,13327925
2035,Zimbabwe,Tea (including mate),0.54,61.3924050633,23.7647296149,13327925
2036,Zimbabwe,Starchy Roots,19.54,13.2075471698,23.7647296149,13327925
2037,Zimbabwe,Sugar & Sweeteners,29.42,47.7987421384,23.7647296149,13327925
2038,Zimbabwe,Coffee and products,0.14,17.6100628931,23.7647296149,13327925
2039,Zimbabwe,Cereals - Excluding Beer,142.49,60.3773584906,23.7647296149,13327925
2040,Zimbabwe,Fruits - Excluding Wine,15.32,5.0314465409,23.7647296149,13327925
2041,Zimbabwe,Pulses,3.91,44.9367088608,23.7647296149,13327925
