Country,Item,Year,Value
Peru,Mean BMI,1978,23.279219946
Philippines,Mean BMI,1978,20.1187443224
Poland,Mean BMI,1978,25.016671664
Portugal,Mean BMI,1978,24.2205133342
Puerto Rico,Mean BMI,1978,24.6643606436
Qatar,Mean BMI,1978,26.2712511896
Romania,Mean BMI,1978,23.58628027
Russian Federation,Mean BMI,1978,25.2751555654
Rwanda,Mean BMI,1978,18.6755590266
Saint Kitts and Nevis,Mean BMI,1978,25.0216330219
Saint Lucia,Mean BMI,1978,23.3756368851
Saint Vincent and the Grenadines,Mean BMI,1978,23.1012890961
Samoa,Mean BMI,1978,27.1471141103
Sao Tome and Principe,Mean BMI,1978,20.8273570797
Saudi Arabia,Mean BMI,1978,25.4678099231
Senegal,Mean BMI,1978,20.1542141302
Serbia,Mean BMI,1978,24.4373321368
Seychelles,Mean BMI,1978,23.0938329595
Sierra Leone,Mean BMI,1978,20.1247073863
Singapore,Mean BMI,1978,23.1526066106
Slovakia,Mean BMI,1978,24.7042252377
Slovenia,Mean BMI,1978,24.2814033002
Solomon Islands,Mean BMI,1978,22.3532789019
Somalia,Mean BMI,1978,19.995733224
South Africa,Mean BMI,1978,24.4468550989
South Korea,Mean BMI,1978,20.8854154475
Spain,Mean BMI,1978,25.0614817219
Sri Lanka,Mean BMI,1978,19.7560431381
Sudan,Mean BMI,1978,20.8334905362
Suriname,Mean BMI,1978,23.5103579753
Swaziland,Mean BMI,1978,23.0110994505
Sweden,Mean BMI,1978,23.7929058991
Switzerland,Mean BMI,1978,23.8120418872
Syrian Arab Republic,Mean BMI,1978,24.8133080445
Taiwan,Mean BMI,1978,21.344162328
Tajikistan,Mean BMI,1978,22.4512194719
Tanzania,Mean BMI,1978,19.7058233117
Thailand,Mean BMI,1978,20.7799863054
Timor-Leste,Mean BMI,1978,18.139544945
Togo,Mean BMI,1978,19.5086586748
Tokelau,Mean BMI,1978,28.0450535007
Tonga,Mean BMI,1978,28.3366143452
Trinidad and Tobago,Mean BMI,1978,23.915087903
Tunisia,Mean BMI,1978,23.0807853728
Turkey,Mean BMI,1978,24.1109554137
Turkmenistan,Mean BMI,1978,23.0951608984
Tuvalu,Mean BMI,1978,26.7241087841
Uganda,Mean BMI,1978,18.9529183457
Ukraine,Mean BMI,1978,24.7700120456
